Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
2810,2810,0,-2081939,-2662137,-2098540,-2530131,1
2811,2811,0,-2499876,-2662137,-2098540,-2684211,1
2812,2812,0,-2499876,-2458596,-2520616,-2684211,1
2813,2813,0,-2328133,-2458596,-2520616,-2478732,1
2814,2814,0,-2328133,-2462520,-2347443,-2478732,1
2815,2815,0,-1957308,-2462520,-2347443,-2482714,1
2816,2816,0,-1957308,-2459150,-1972738,-2482714,1
2817,2817,0,-1877850,-2459150,-1972738,-2479447,1
2818,2818,0,-1877850,-2216814,-1893154,-2479447,1
2819,2819,0,-2029159,-2216814,-1893154,-2234835,1
2820,2820,0,-2029159,-2165792,-2044802,-2234835,1
2821,2821,0,-2738459,-2165792,-2044802,-2183488,1
2822,2822,0,-2738459,-2048113,-2760570,-2183488,1
2823,2823,0,-2441644,-2048113,-2760570,-2064535,1
2824,2824,0,-2441644,-2150694,-2461591,-2064535,1
2825,2825,0,-2250337,-2150694,-2461591,-2167816,1
2826,2826,0,-2250337,-2271778,-2268308,-2167816,1
2827,2827,0,-2072298,-2271778,-2268308,-2290030,1
2828,2828,0,-2072298,-2364900,-2089379,-2290030,1
2829,2829,0,-1917944,-2364900,-2089379,-2383818,1
2830,2830,0,-1917944,-2375685,-1932561,-2383818,1
2831,2831,0,-3138879,-2375685,-1932561,-2394962,1
2832,2832,0,-3138879,-2170556,-3165230,-2394962,1
2833,2833,0,-1877017,-2170556,-3165230,-2187960,1
2834,2834,0,-1877017,-2344865,-1892626,-2187960,1
2835,2835,0,-1751552,-2344865,-1892626,-2363870,1
2836,2836,0,-1751552,-2251535,-1764939,-2363870,1
2837,2837,0,-1754395,-2251535,-1764939,-2269949,1
2838,2838,0,-1754395,-2171348,-1768337,-2269949,1
2839,2839,0,-2368480,-2171348,-1768337,-2188839,1
2840,2840,0,-2368480,-2130461,-2387012,-2188839,1
2841,2841,0,-2311061,-2130461,-2387012,-2147783,1
2842,2842,0,-2311061,-1937861,-2330174,-2147783,1
2843,2843,0,-1863158,-1937861,-2330174,-1953229,1
2844,2844,0,-1863158,-2046372,-1877612,-1953229,1
2845,2845,0,-2413666,-2046372,-1877612,-2062616,1
2846,2846,0,-2413666,-2074274,-2433875,-2062616,1
2847,2847,0,-1603812,-2074274,-2433875,-2090784,1
2848,2848,0,-1603812,-2239092,-1616083,-2090784,1
2849,2849,0,-1795368,-2239092,-1616083,-2257169,1
2850,2850,0,-1795368,-2047925,-1809193,-2257169,1
2851,2851,0,-1894205,-2047925,-1809193,-2064436,1
2852,2852,0,-1894205,-1919001,-1909122,-2064436,1
2853,2853,0,-1805749,-1919001,-1909122,-1934191,1
2854,2854,0,-1805749,-1926763,-1819414,-1934191,1
2855,2855,0,-1927141,-1926763,-1819414,-1942069,1
2856,2856,0,-1927141,-1774784,-1941850,-1942069,1
2857,2857,0,-2144376,-1774784,-1941850,-1788453,1
2858,2858,0,-2144376,-1855616,-2161633,-1788453,1
2859,2859,0,-2425792,-1855616,-2161633,-1869895,1
2860,2860,0,-2425792,-1942868,-2445638,-1869895,1
2861,2861,0,-2660699,-1942868,-2445638,-1958005,1
2862,2862,0,-2660699,-2075765,-2683010,-1958005,1
2863,2863,0,-1811481,-2075765,-2683010,-2092134,1
2864,2864,0,-1811481,-2289502,-1825728,-2092134,1
2865,2865,0,-1817679,-2289502,-1825728,-2308033,1
2866,2866,0,-1817679,-2260587,-1831912,-2308033,1
2867,2867,0,-1930137,-2260587,-1831912,-2279003,1
2868,2868,0,-1930137,-2178913,-1945467,-2279003,1
2869,2869,0,-2072022,-2178913,-1945467,-2196572,1
2870,2870,0,-2072022,-2054999,-2088439,-2196572,1
2871,2871,0,-2448410,-2054999,-2088439,-2071530,1
2872,2872,0,-2448410,-1907830,-2468336,-2071530,1
2873,2873,0,-2427459,-1907830,-2468336,-1922887,1
2874,2874,0,-2427459,-2067062,-2447550,-1922887,1
2875,2875,0,-2255926,-2067062,-2447550,-2083539,1
2876,2876,0,-2255926,-2219507,-2274120,-2083539,1
2877,2877,0,-2620279,-2219507,-2274120,-2237448,1
2878,2878,0,-2620279,-2300955,-2642275,-2237448,1
2879,2879,0,-1674969,-2300955,-2642275,-2319612,1
2880,2880,0,-1674969,-2438019,-1687915,-2319612,1
2881,2881,0,-1926750,-2438019,-1687915,-2458071,1
2882,2882,0,-1926750,-2244659,-1941588,-2458071,1
2883,2883,0,-2210642,-2244659,-1941588,-2262965,1
2884,2884,0,-2210642,-2119481,-2228625,-2262965,1
2885,2885,0,-2337828,-2119481,-2228625,-2136475,1
2886,2886,0,-2337828,-2108160,-2357140,-2136475,1
